Stimuli Number	Event Number	Dominant_Frequency_Hz	Log2Scaled_DomFrequency	DomPower_dB	DomPower_B	Angle
7	4	832.5	9.701306462	-31.43096299	-3.143096299	141.05
7	5	785	9.616548844	-42.05767546	-4.205767546	265.44
8	1	935	9.868822555	-42.39134535	-4.239134535	336.75
8	2	934.1666667	9.867536157	-36.55351701	-3.655351701	90.13
8	3	935	9.868822555	-36.86546935	-3.686546935	272.36
8	4	1573.333333	10.61960864	-39.52616289	-3.952616289	340.49
8	5	832.5	9.701306462	-35.03823603	-3.503823603	153.95
9	1	783.3333333	9.613482541	-36.37442835	-3.637442835	339.27
9	2	696.6666667	9.444324726	-40.5525526	-4.05525526	247.96
9	3	697.5	9.446049407	-36.15062192	-3.615062192	89.78
9	4	1175	10.19844504	-38.36434456	-3.836434456	343.6
9	5	880	9.781359714	-30.29436433	-3.029436433	117.33
10	1	880	9.781359714	-42.84682182	-4.284682182	336.34
10	2	880	9.781359714	-36.20453175	-3.620453175	90
10	3	1175	10.19844504	-38.38867373	-3.838867373	332.36
10	4	695.8333333	9.442597982	-43.65536332	-4.365536332	214.87
10	5	784.1666667	9.615016507	-30.94650277	-3.094650277	82.27
11	1	524.1666667	9.033881801	-34.69589703	-3.469589703	338.99
11	2	587.5	9.198445041	-38.9533211	-3.89533211	291.13
11	3	494.1666667	8.948853889	-34.53069116	-3.453069116	119.44
11	4	495.8333333	8.953711452	-30.70279611	-3.070279611	89.27
11	5	495	8.951284715	-35.31954507	-3.531954507	269.7
12	1	522.5	9.029287227	-35.54255238	-3.554255238	338.51
12	2	587.5	9.198445041	-40.3549979	-4.03549979	289.37
